wfpp,wikidata,label
https://wfpp.columbia.edu/person/julia-crawford-ivers/,Q3189034,Julia Crawford Ivers
https://wfpp.columbia.edu/person/juliet-barrett-rublee/,Q50379272,Juliet Barrett Rublee
https://wfpp.columbia.edu/person/june-mathis/,Q251303,June Mathis
https://wfpp.columbia.edu/person/kate-corbaley/,Q62029356,Kate Corbaley
https://wfpp.columbia.edu/person/kate-howarde/,Q6375547,Kate Howarde
https://wfpp.columbia.edu/person/katharine-hilliker/,Q62091941,Katherine Hilliker
https://wfpp.columbia.edu/person/katharine-kavanaugh/,,
https://wfpp.columbia.edu/person/kathleen-romoli/,Q73050212,Kathleen Romoli
https://wfpp.columbia.edu/person/kathlyn-williams/,Q2052882,Kathlyn Williams
https://wfpp.columbia.edu/person/katri-viita/,Q89044929,Katri Viita
https://wfpp.columbia.edu/person/kinuyo-tanaka/,Q263104,Kinuyo Tanaka
https://wfpp.columbia.edu/person/laura-bayley/,Q27487443,Laura Bayley
https://wfpp.columbia.edu/person/leah-baird/,Q540968,Leah Baird
https://wfpp.columbia.edu/person/leila-lewis/,Q89053785,Leila Lewis
https://wfpp.columbia.edu/person/lenore-coffee/,Q1818206,Lenore J. Coffee
https://wfpp.columbia.edu/person/lettice-ramsey/,Q47949282,Lettice Ramsey
https://wfpp.columbia.edu/person/lillian-case-russell/,Q61861707,Lillian Case Russell
https://wfpp.columbia.edu/person/lillian-ducey/,Q60902485,Lillian Ducey
https://wfpp.columbia.edu/person/lillian-gish/,Q104183,Lillian Gish
https://wfpp.columbia.edu/person/lois-weber/,Q462440,Lois Weber
https://wfpp.columbia.edu/person/lorna-moon/,Q6681382,Lorna Moon
https://wfpp.columbia.edu/person/lotte-reiniger/,Q444011,Lotte Reiniger
https://wfpp.columbia.edu/person/lottie-lyell/,Q6685026,Lottie Lyell
https://wfpp.columbia.edu/person/louella-parsons/,Q249143,Louella Parsons
https://wfpp.columbia.edu/person/louise-kolm-fleck/,Q86305,Luise Fleck
https://wfpp.columbia.edu/person/louise-lovely/,Q3837650,Louise Lovely
https://wfpp.columbia.edu/person/lucie-derain/,Q67197558,Lucie Derain
https://wfpp.columbia.edu/person/lucy-duff-gordon/,Q255184,"Lucy, Lady Duff-Gordon"
https://wfpp.columbia.edu/person/lule-warrenton/,Q6702778,Lule Warrenton
https://wfpp.columbia.edu/person/lydia-hayward/,Q6707631,Lydia Hayward
https://wfpp.columbia.edu/person/mabel-condon/,Q88324066,Mabel Condon
https://wfpp.columbia.edu/person/mabel-normand/,Q235918,Mabel Normand
https://wfpp.columbia.edu/person/madeline-brandeis/,Q6726997,Madeline Brandeis
https://wfpp.columbia.edu/person/madge-tyrone/,Q60513041,Madge Tyrone
https://wfpp.columbia.edu/person/mae-murray-2/,Q271523,Mae Murray
https://wfpp.columbia.edu/person/maibelle-heikes-justice/,Q21197444,Maibelle Heikes Justice
https://wfpp.columbia.edu/person/mairin-hayes/,Q89050921,Máirín Hayes
https://wfpp.columbia.edu/person/margaret-booth/,Q508875,Margaret Booth
https://wfpp.columbia.edu/person/margaret-j-winkler/,Q3099796,Margaret J. Winkler
https://wfpp.columbia.edu/person/margaret-mayo/,Q2080961,Margaret Mayo
https://wfpp.columbia.edu/person/margaret-mcguffie-hepworth/,,
https://wfpp.columbia.edu/person/margaret-turnbull/,Q6759977,Margaret Turnbull
https://wfpp.columbia.edu/person/margery-wilson/,Q4111550,Margery Wilson
https://wfpp.columbia.edu/person/marguerite-bertsch/,Q3290672,Marguerite Bertsch
https://wfpp.columbia.edu/person/marguerite-renoir/,Q3290731,Marguerite Renoir
https://wfpp.columbia.edu/person/marguerite-viel/,Q3290747,Marguerite Viel
https://wfpp.columbia.edu/person/maria-c-downs/,,
https://wfpp.columbia.edu/person/maria-isabel-s-aacute-nchez-concha-aramburu/,Q89051901,Maria Isabel Sánchez Concha
https://wfpp.columbia.edu/person/maria-luz-morales-godoy/,Q951382,María Luz Morales
https://wfpp.columbia.edu/person/maria-p-williams/,Q61829256,Maria P. Williams
https://wfpp.columbia.edu/person/marian-constance-blackton/,,
https://wfpp.columbia.edu/person/marie-de-kerstrat/,Q3292907,Marie de Kerstrat
